Month,Return (%),,,
Jan-60,-3.61%,,,
Feb-60,-1.08%,,,
Mar-60,1.58%,,,
Apr-60,-0.62%,,,
May-60,3.99%,,,
Jun-60,-2.20%,,,
Jul-60,1.49%,,,
Aug-60,-2.72%,,,
Sep-60,-1.67%,,,
Oct-60,3.54%,,,
Nov-60,2.69%,,,
Dec-60,5.43%,,,
Jan-61,4.37%,,,
Feb-61,3.40%,,,
Mar-61,2.92%,,,
Apr-61,1.26%,,,
May-61,-1.08%,,,
Jun-61,-0.03%,,,
Jul-61,3.84%,,,
Aug-61,-0.54%,,,
Sep-61,1.34%,,,
Oct-61,4.77%,,,
Nov-61,1.16%,,,
Dec-61,-3.49%,,,
Jan-62,1.91%,,,
Feb-62,0.34%,,,
Mar-62,-2.94%,,,
Apr-62,-7.19%,,,
May-62,-11.41%,,,
Jun-62,2.72%,,,
Jul-62,3.02%,,,
Aug-62,-0.59%,,,
Sep-62,-2.86%,,,
Oct-62,7.20%,,,
Nov-62,4.62%,,,
Dec-62,4.15%,,,
Jan-63,1.60%,,,
Feb-63,-0.11%,,,
Mar-63,4.98%,,,
Apr-63,2.27%,,,
May-63,0.22%,,,
Jun-63,-1.22%,,,
Jul-63,3.03%,,,
Aug-63,2.89%,,,
Sep-63,0.50%,,,
Oct-63,-0.31%,,,
Nov-63,2.39%,,,
Dec-63,3.33%,,,
Jan-64,1.48%,,,
Feb-64,2.07%,,,
Mar-64,1.69%,,,
Apr-64,1.22%,,,
May-64,-0.35%,,,
Jun-64,3.96%,,,
Jul-64,-1.23%,,,
Aug-64,1.97%,,,
Sep-64,1.97%,,,
Oct-64,0.94%,,,
Nov-64,-1.49%,,,
Dec-64,2.82%,,,
Jan-65,0.98%,,,
Feb-65,0.34%,,,
Mar-65,1.56%,,,
Apr-65,1.73%,,,
May-65,-4.51%,,,
Jun-65,0.10%,,,
Jul-65,2.12%,,,
Aug-65,3.60%,,,
Sep-65,2.50%,,,
Oct-65,1.08%,,,
Nov-65,-0.21%,,,
Dec-65,1.98%,,,
Jan-66,-0.43%,,,
Feb-66,-3.86%,,,
Mar-66,3.32%,,,
Apr-66,-5.01%,,,
May-66,-0.56%,,,
Jun-66,0.02%,,,
Jul-66,-5.77%,,,
Aug-66,-3.22%,,,
Sep-66,-0.56%,,,
Oct-66,5.32%,,,
Nov-66,0.72%,,,
Dec-66,4.13%,,,
Jan-67,3.73%,,,
Feb-67,2.63%,,,
Mar-67,1.99%,,,
Apr-67,2.06%,,,
May-67,-0.99%,,,
Jun-67,1.99%,,,
Jul-67,1.85%,,,
Aug-67,1.65%,,,
Sep-67,0.10%,,,
Oct-67,-2.88%,,,
Nov-67,3.11%,,,
Dec-67,-0.02%,,,
Jan-68,-4.26%,,,
Feb-68,-1.56%,,,
Mar-68,7.66%,,,
Apr-68,2.56%,,,
May-68,2.94%,,,
Jun-68,0.05%,,,
Jul-68,-1.93%,,,
Aug-68,3.51%,,,
Sep-68,2.72%,,,
Oct-68,1.79%,,,
Nov-68,1.29%,,,
Dec-68,-3.99%,,,
Jan-69,-0.24%,,,
Feb-69,-1.91%,,,
Mar-69,2.27%,,,
Apr-69,3.51%,,,
May-69,-4.97%,,,
Jun-69,-4.21%,,,
Jul-69,-0.28%,,,
Aug-69,0.63%,,,
Sep-69,1.35%,,,
Oct-69,1.00%,,,
Nov-69,-5.03%,,,
Dec-69,-0.59%,,,
Jan-70,-3.20%,,,
Feb-70,2.01%,,,
Mar-70,-2.75%,,,
Apr-70,-11.20%,,,
May-70,-0.27%,,,
Jun-70,0.52%,,,
Jul-70,3.26%,,,
Aug-70,6.32%,,,
Sep-70,2.49%,,,
Oct-70,0.21%,,,
Nov-70,7.16%,,,
Dec-70,4.11%,,,
Jan-71,4.15%,,,
Feb-71,2.83%,,,
Mar-71,3.67%,,,
Apr-71,-1.11%,,,
May-71,-1.60%,,,
Jun-71,-0.46%,,,
Jul-71,-1.52%,,,
Aug-71,2.49%,,,
Sep-71,-1.86%,,,
Oct-71,-4.37%,,,
Nov-71,7.16%,,,
Dec-71,4.42%,,,
Jan-72,2.09%,,,
Feb-72,2.62%,,,
Mar-72,1.26%,,,
Apr-72,-0.78%,,,
May-72,0.52%,,,
Jun-72,-0.50%,,,
Jul-72,3.78%,,,
Aug-72,-1.21%,,,
Sep-72,0.42%,,,
Oct-72,5.25%,,,
Nov-72,2.31%,,,
Dec-72,0.99%,,,
